AcquisitionContextSRStorage,1.2.840.10008.5.1.4.1.1.88.71
DigitalXRayImageStorageForPresentation,1.2.840.10008.5.1.4.1.1.1.1
DigitalXRayImageStorageForProcessing,1.2.840.10008.5.1.4.1.1.1.1.1
ElectromyogramWaveformStorage,1.2.840.10008.5.1.4.1.1.9.7.2
ElectrooculogramWaveformStorage,1.2.840.10008.5.1.4.1.1.9.7.3
EncapsulatedCDAStorage,1.2.840.10008.5.1.4.1.1.104.2
EncapsulatedMTLStorage,1.2.840.10008.5.1.4.1.1.104.5
EncapsulatedOBJStorage,1.2.840.10008.5.1.4.1.1.104.4
EncapsulatedPDFStorage,1.2.840.10008.5.1.4.1.1.104.1
EncapsulatedSTLStorage,1.2.840.10008.5.1.4.1.1.104.3
EnhancedCTImageStorage,1.2.840.10008.5.1.4.1.1.2.1
EnhancedMRColorImageStorage,1.2.840.10008.5.1.4.1.1.4.3
EnhancedMRImageStorage,1.2.840.10008.5.1.4.1.1.4.1
EnhancedPETImageStorage,1.2.840.10008.5.1.4.1.1.130
EnhancedSRStorage,1.2.840.10008.5.1.4.1.1.88.22
EnhancedUSVolumeStorage,1.2.840.10008.5.1.4.1.1.6.2
EnhancedXAImageStorage,1.2.840.10008.5.1.4.1.1.12.1.1
EnhancedXRayRadiationDoseSRStorage,1.2.840.10008.5.1.4.1.1.88.76
EnhancedXRFImageStorage,1.2.840.10008.5.1.4.1.1.12.2.1
ExtensibleSRStorage,1.2.840.10008.5.1.4.1.1.88.35
GeneralAudioWaveformStorage,1.2.840.10008.5.1.4.1.1.9.4.2
GeneralECGWaveformStorage,1.2.840.10008.5.1.4.1.1.9.1.2
GrayscalePlanarMPRVolumetricPresentationStateStorage,1.2.840.10008.5.1.4.1.1.11.6
GrayscaleSoftcopyPresentationStateStorage,1.2.840.10008.5.1.4.1.1.11.1
HemodynamicWaveformStorage,1.2.840.10008.5.1.4.1.1.9.2.1
ImplantationPlanSRStorage,1.2.840.10008.5.1.4.1.1.88.70
IntraocularLensCalculationsStorage,1.2.840.10008.5.1.4.1.1.78.8
IntravascularOpticalCoherenceTomographyImageStorageForPresentation,1.2.840.10008.5.1.4.1.1.14.1
IntravascularOpticalCoherenceTomographyImageStorageForProcessing,1.2.840.10008.5.1.4.1.1.14.2
KeratometryMeasurementsStorage,1.2.840.10008.5.1.4.1.1.78.3
KeyObjectSelectionDocumentStorage,1.2.840.10008.5.1.4.1.1.88.59
LegacyConvertedEnhancedCTImageStorage,1.2.840.10008.5.1.4.1.1.2.2
LegacyConvertedEnhancedMRImageStorage,1.2.840.10008.5.1.4.1.1.4.4
LegacyConvertedEnhancedPETImageStorage,1.2.840.10008.5.1.4.1.1.128.1
LensometryMeasurementsStorage,1.2.840.10008.5.1.4.1.1.78.1
MacularGridThicknessAndVolumeReportStorage,1.2.840.10008.5.1.4.1.1.79.1
MammographyCADSRStorage,1.2.840.10008.5.1.4.1.1.88.50
MicroscopyBulkSimpleAnnotationsStorage,1.2.840.10008.5.1.4.1.1.91.1
MRImageStorage,1.2.840.10008.5.1.4.1.1.4
MRSpectroscopyStorage,1.2.840.10008.5.1.4.1.1.4.2
MultichannelRespiratoryWaveformStorage,1.2.840.10008.5.1.4.1.1.9.6.2
MultiFrameGrayscaleByteSecondaryCaptureImageStorage,1.2.840.10008.5.1.4.1.1.7.2
MultiFrameGrayscaleWordSecondaryCaptureImageStorage,1.2.840.10008.5.1.4.1.1.7.3
MultiFrameSingleBitSecondaryCaptureImageStorage,1.2.840.10008.5.1.4.1.1.7.1
MultiFrameTrueColorSecondaryCaptureImageStorage,1.2.840.10008.5.1.4.1.1.7.4
MultipleVolumeRenderingVolumetricPresentationStateStorage,1.2.840.10008.5.1.4.1.1.11.11
NuclearMedicineImageStorage,1.2.840.10008.5.1.4.1.1.20
OphthalmicAxialMeasurementsStorage,1.2.840.10008.5.1.4.1.1.78.7
OphthlamicOpticalCoherenceTomographyBscanVolumeAnalysisStorage,1.2.840.10008.5.1.4.1.1.77.1.5.8
OphthalmicOpticalCoherenceTomographyEnFaceImageStorage,1.2.840.10008.5.1.4.1.1.77.1.5.7
OphthalmicPhotography16BitImageStorage,1.2.840.10008.5.1.4.1.1.77.1.5.2
OphthalmicPhotography8BitImageStorage,1.2.840.10008.5.1.4.1.1.77.1.5.1
OphthalmicThicknessMapStorage,1.2.840.10008.5.1.4.1.1.81.1
OphthalmicTomographyImageStorage,1.2.840.10008.5.1.4.1.1.77.1.5.4
OphthalmicVisualFieldStaticPerimetryMeasurementsStorage,1.2.840.10008.5.1.4.1.1.80.1
ParametricMapStorage,1.2.840.10008.5.1.4.1.1.30
PatientRadiationDoseSRStorage,1.2.840.10008.5.1.4.1.1.88.73
PerformedImagingAgentAdministrationSRStorage,1.2.840.10008.5.1.4.1.1.88.75
PlannedImagingAgentAdministrationSRStorage,1.2.840.10008.5.1.4.1.1.88.74
PositronEmissionTomographyImageStorage,1.2.840.10008.5.1.4.1.1.128
ProcedureLogStorage,1.2.840.10008.5.1.4.1.1.88.40
PseudoColorSoftcopyPresentationStageStorage,1.2.840.10008.5.1.4.1.1.11.3
RadiopharmaceuticalRadiationDoseSRStorage,1.2.840.10008.5.1.4.1.1.88.68
RawDataStorage,1.2.840.10008.5.1.4.1.1.66
RealWorldValueMappingStorage,1.2.840.10008.5.1.4.1.1.67
RespiratoryWaveformStorage,1.2.840.10008.5.1.4.1.1.9.6.1
RoboticArmRadiationRecordStorage,1.2.840.10008.5.1.4.1.1.481.20
RoboticArmRadiationStorage,1.2.840.10008.5.1.4.1.1.481.15
RoutineScalpElectroencephalogramWaveformStorage,1.2.840.10008.5.1.4.1.1.9.7.1
RTBeamsDeliveryInstructionStorage,1.2.840.10008.5.1.4.34.7
RTBeamsTreatmentRecordStorage,1.2.840.10008.5.1.4.1.1.481.4
RTBrachyApplicationSetupDeliveryInstructionsStorage,1.2.840.10008.5.1.4.34.10
RTBrachyTreatmentRecordStorage,1.2.840.10008.5.1.4.1.1.481.6
RTDoseStorage,1.2.840.10008.5.1.4.1.1.481.2
RTImageStorage,1.2.840.10008.5.1.4.1.1.481.1
RTIonBeamsTreatmentRecordStorage,1.2.840.10008.5.1.4.1.1.481.9
RTIonPlanStorage,1.2.840.10008.5.1.4.1.1.481.8
RTPhysicianIntentStorage,1.2.840.10008.5.1.4.1.1.481.10
RTPlanStorage,1.2.840.10008.5.1.4.1.1.481.5
RTRadiationRecordSetStorage,1.2.840.10008.5.1.4.1.1.481.16
RTRadiationSalvageRecordStorage,1.2.840.10008.5.1.4.1.1.481.17
RTRadiationSetDeliveryInstructionStorage,1.2.840.10008.5.1.4.1.1.481.21
RTRadiationSetStorage,1.2.840.10008.5.1.4.1.1.481.12
RTSegmentAnnotationStorage,1.2.840.10008.5.1.4.1.1.481.11
RTStructureSetStorage,1.2.840.10008.5.1.4.1.1.481.3
RTTreatmentPreparationStorage,1.2.840.10008.5.1.4.1.1.481.22
RTTreatmentSummaryRecordStorage,1.2.840.10008.5.1.4.1.1.481.7
SecondaryCaptureImageStorage,1.2.840.10008.5.1.4.1.1.7
SegmentationStorage,1.2.840.10008.5.1.4.1.1.66.4
SegmentedVolumeRenderingVolumetricPresentationStateStorage,1.2.840.10008.5.1.4.1.1.11.10
SimplifiedAdultEchoSRStorage,1.2.840.10008.5.1.4.1.1.88.72
SleepElectroencephalogramWaveformStorage,1.2.840.10008.5.1.4.1.1.9.7.4
SpatialFiducialsStorage,1.2.840.10008.5.1.4.1.1.66.2
SpatialRegistrationStorage,1.2.840.10008.5.1.4.1.1.66.1
SpectaclePrescriptionReportStorage,1.2.840.10008.5.1.4.1.1.78.6
StereometricRelationshipStorage,1.2.840.10008.5.1.4.1.1.77.1.5.3
SubjectiveRefractionMeasurementsStorage,1.2.840.10008.5.1.4.1.1.78.4
SurfaceScanMeshStorage,1.2.840.10008.5.1.4.1.1.68.1
SurfaceScanPointCloudStorage,1.2.840.10008.5.1.4.1.1.68.2
SurfaceSegmentationStorage,1.2.840.10008.5.1.4.1.1.66.5
TomotherapeuticRadiationRecordStorage,1.2.840.10008.5.1.4.1.1.481.18
TomotherapeuticRadiationStorage,1.2.840.10008.5.1.4.1.1.481.14
TractographyResultsStorage,1.2.840.10008.5.1.4.1.1.66.6
TwelveLeadECGWaveformStorage,1.2.840.10008.5.1.4.1.1.9.1.1
UltrasoundImageStorage,1.2.840.10008.5.1.4.1.1.6.1
UltrasoundMultiFrameImageStorage,1.2.840.10008.5.1.4.1.1.3.1
VideoEndoscopicImageStorage,1.2.840.10008.5.1.4.1.1.77.1.1.1
VideoMicroscopicImageStorage,1.2.840.10008.5.1.4.1.1.77.1.2.1
VideoPhotographicImageStorage,1.2.840.10008.5.1.4.1.1.77.1.4.1
VisualAcuityMeasurementsStorage,1.2.840.10008.5.1.4.1.1.78.5
VLEndoscopicImageStorage,1.2.840.10008.5.1.4.1.1.77.1.1
VLMicroscopicImageStorage,1.2.840.10008.5.1.4.1.1.77.1.2
VLPhotographicImageStorage,1.2.840.10008.5.1.4.1.1.77.1.4
VLSlideCoordinatesMicroscopicImageStorage,1.2.840.10008.5.1.4.1.1.77.1.3
VLWholeSlideMicroscopyImageStorage,1.2.840.10008.5.1.4.1.1.77.1.6
VolumeRenderingVolumetricPresentationStateStorage,1.2.840.10008.5.1.4.1.1.11.9
WideFieldOphthalmicPhotography3DCoordinatesImageStorage,1.2.840.10008.5.1.4.1.1.77.1.5.6
WideFieldOphthalmicPhotographyStereographicProjectionImageStorage,1.2.840.10008.5.1.4.1.1.77.1.5.5
XAPerformedProcedureProtocolStorage,1.2.840.10008.5.1.4.1.1.200.8
XAXRFGrayscaleSoftcopyPresentationStateStorage,1.2.840.10008.5.1.4.1.1.11.5
XRay3DAngiographicImageStorage,1.2.840.10008.5.1.4.1.1.13.1.1
XRay3DCraniofacialImageStorage,1.2.840.10008.5.1.4.1.1.13.1.2
XRayAngiographicImageStorage,1.2.840.10008.5.1.4.1.1.12.1
XRayRadiationDoseSRStorage,1.2.840.10008.5.1.4.1.1.88.67
XRayRadiofluoroscopicImageStorage,1.2.840.10008.5.1.4.1.1.12.2
